rule,side,target_c,trades,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,settle_win_rate,touch_ema_after_entry,avg_entry_minute,avg_signal_ext_bps,avg_entry_ext_bps,avg_further_ext_bps,yes_share,table
ext40bps_further0bps_entry22c,YES,60,54,0.037037037037037035,0.36666666666666664,-19.77777777777778,-22.0,"-17.71,-22.00,-22.00,-17.38",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,65,54,0.037037037037037035,0.3384615384615385,-19.59259259259259,-22.0,"-17.36,-22.00,-22.00,-17.00",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,70,54,0.037037037037037035,0.3142857142857143,-19.40740740740741,-22.0,"-17.00,-22.00,-22.00,-16.62",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,75,54,0.037037037037037035,0.29333333333333333,-19.22222222222222,-22.0,"-16.64,-22.00,-22.00,-16.23",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,80,54,0.037037037037037035,0.275,-19.037037037037038,-22.0,"-16.29,-22.00,-22.00,-15.85",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,85,54,0.037037037037037035,0.25882352941176473,-18.85185185185185,-22.0,"-15.93,-22.00,-22.00,-15.46",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry22c,YES,99,54,0.037037037037037035,0.2222222222222222,-18.333333333333332,-22.0,"-14.93,-22.00,-22.00,-14.38",0,9,-22.0,0.037037037037037035,0.037037037037037035,5.351851851851852,51.400245449495685,51.63295856296007,0.2327131134643856,1.0,rule_side
ext40bps_further0bps_entry23c,NO,45,72,0.05555555555555555,0.5111111111111111,-20.5,-23.0,"-23.00,-20.50,-18.00,-20.50",0,9,-23.0,0.041666666666666664,0.027777777777777776,5.875,48.97353474676707,51.1466681980166,2.173133451249529,0.0,rule_side
ext40bps_further0bps_entry23c,NO,50,72,0.05555555555555555,0.46,-20.22222222222222,-23.0,"-23.00,-20.22,-17.44,-20.22",0,9,-23.0,0.041666666666666664,0.027777777777777776,5.875,48.97353474676707,51.1466681980166,2.173133451249529,0.0,rule_side
ext40bps_further0bps_entry23c,NO,55,72,0.05555555555555555,0.41818181818181815,-19.944444444444443,-23.0,"-23.00,-19.94,-16.89,-19.94",0,9,-23.0,0.041666666666666664,0.027777777777777776,5.875,48.97353474676707,51.1466681980166,2.173133451249529,0.0,rule_side
ext40bps_further0bps_entry23c,NO,60,72,0.05555555555555555,0.38333333333333336,-19.666666666666668,-23.0,"-23.00,-19.67,-16.33,-19.67",0,9,-23.0,0.041666666666666664,0.027777777777777776,5.875,48.97353474676707,51.1466681980166,2.173133451249529,0.0,rule_side
ext40bps_further0bps_entry23c,NO,65,72,0.05555555555555555,0.35384615384615387,-19.38888888888889,-23.0,"-23.00,-19.39,-15.78,-19.39",0,9,-23.0,0.041666666666666664,0.027777777777777776,5.875,48.97353474676707,51.1466681980166,2.173133451249529,0.0,rule_side
