rule,side,btc_signed_bin,early_low_bin,target_c,trades,avg_entry_c,hit_rate,breakeven_hit_rate,avg_pnl_c,min_quartile_ev_c,quartile_ev_c,positive_weeks,weeks,min_week_ev_c,median_entry_minute
low<=25_close40-65_green,NO,with25-75,20-25,60,33,55.90909090909091,0.8181818181818182,0.9318181818181818,-6.81818181818182,-12.333333333333336,"-12.33,-5.50,-4.13,-4.63",5,10,-34.333333333333336,6.0
low<=25_close40-65_green,NO,with25-75,20-25,70,33,55.90909090909091,0.7272727272727273,0.7987012987012987,-5.000000000000002,-13.444444444444448,"-13.44,-5.50,-4.13,4.12",4,10,-54.333333333333336,6.0
low<=25_close40-65_green,NO,with25-75,20-25,80,33,55.90909090909091,0.696969696969697,0.6988636363636364,-0.15151515151515302,-16.777777777777782,"-16.78,2.00,3.37,12.87",6,10,-54.333333333333336,6.0
low<=25_close40-65_green,NO,with25-75,20-25,85,33,55.90909090909091,0.696969696969697,0.6577540106951871,3.3333333333333317,-14.555555555555559,"-14.56,5.75,7.12,17.25",7,10,-54.333333333333336,6.0
low<=25_close40-65_green,NO,with25-75,20-25,90,33,55.90909090909091,0.696969696969697,0.6212121212121212,6.818181818181817,-12.333333333333336,"-12.33,9.50,10.87,21.62",8,10,-54.333333333333336,6.0
low<=25_close40-65_green,NO,with25-75,20-25,99,33,55.90909090909091,0.5757575757575758,0.5647382920110192,1.0909090909090906,-8.333333333333336,"-8.33,3.87,5.25,4.75",6,10,-54.333333333333336,6.0
low<=25_close40-65_green,YES,against25-75,<=15,60,30,48.03333333333333,0.7333333333333333,0.8005555555555556,-4.033333333333333,-12.142857142857142,"-7.25,-12.14,3.57,-0.38",4,10,-46.0,8.0
low<=25_close40-65_green,YES,against25-75,<=15,70,30,48.03333333333333,0.7,0.6861904761904761,0.9666666666666665,-16.428571428571427,"-1.00,-16.43,12.14,8.38",4,10,-46.0,8.0
low<=25_close40-65_green,YES,against25-75,<=15,80,30,48.03333333333333,0.5333333333333333,0.6004166666666666,-5.366666666666666,-14.75,"-14.75,-12.14,9.29,-2.88",4,10,-53.5,8.0
low<=25_close40-65_green,YES,against25-75,<=15,85,30,48.03333333333333,0.4666666666666667,0.5650980392156862,-8.366666666666667,-12.875,"-12.88,-10.00,-11.43,0.25",4,10,-53.5,8.0
