model,edge,cost_low,cost_high,target_c,discovery_trades,discovery_avg_pnl_c,discovery_profit_factor,discovery_win_rate,discovery_yes_share,validation_trades,validation_avg_pnl_c,validation_profit_factor,validation_win_rate,validation_yes_share
p_lightgbm,0.06,0.6,0.9,100,166,-1.5903614457831325,0.9098206660973527,0.7650602409638554,0.7349397590361446,337,-5.425816023738872,0.7293516873889876,0.7388724035608308,0.33827893175074186
p_lightgbm,0.09999999999999999,0.5,0.8,99,100,-2.09,0.9085739282589677,0.64,0.77,178,2.4269662921348316,1.1394673123486683,0.7471910112359551,0.23595505617977527
p_hist_gb,0.09999999999999999,0.3,0.6,90,305,-2.0704918032786885,0.9082788671023965,0.5081967213114754,0.7049180327868853,78,-2.2820512820512833,0.8971098265895954,0.5897435897435898,0.15384615384615385
p_btc_signal,0.06999999999999999,0.6,0.9,100,148,-1.6824324324324325,0.9079992610382412,0.75,0.7364864864864865,334,-3.8922155688622753,0.8039067803001735,0.7395209580838323,0.31736526946107785
p_ensemble,0.09,0.3,0.6,99,210,-2.323809523809524,0.9078897697244243,0.44761904761904764,0.7571428571428571,52,-3.153846153846156,0.8728189220628151,0.5576923076923077,0.09615384615384616
p_kalshi_signal,0.02,0.5,0.8,100,581,-2.012908777969019,0.9072119961916851,0.6695352839931153,0.6024096385542169,457,-5.392778993435448,0.7715728983223654,0.6630196936542669,0.3851203501094092
p_logit,0.06999999999999999,0.5,0.8,100,169,-2.032544378698225,0.9067083107007061,0.6686390532544378,0.7100591715976331,205,-4.709756097560976,0.7974192194712547,0.6682926829268293,0.18536585365853658
p_btc_signal,0.02,0.6,0.9,100,443,-1.6422121896162525,0.9058678915701623,0.7674943566591422,0.6388261851015802,474,-4.440928270042194,0.7751068376068376,0.7426160337552743,0.39662447257383965
p_btc_signal,0.039999999999999994,0.5,0.8,99,460,-2.0391304347826087,0.9056195602958192,0.6717391304347826,0.6434782608695652,459,-3.05119825708061,0.8567849473361284,0.6949891067538126,0.3289760348583878
p_xgboost,0.03,0.5,0.8,100,487,-2.064681724845996,0.9050025981387878,0.6735112936344969,0.6652977412731006,476,-4.743697478991597,0.7950347206463033,0.6701680672268907,0.36764705882352944
p_lightgbm,0.09999999999999999,0.0,1.0,100,450,-2.281555555555556,0.9023882413340685,0.43333333333333335,0.7311111111111112,231,-0.300865800865801,0.9839362070958049,0.7012987012987013,0.20346320346320346
p_hist_gb,0.07999999999999999,0.4,0.7,100,268,-2.5111940298507465,0.9010148551257537,0.5447761194029851,0.6604477611940298,187,-1.5213903743315509,0.9348000458347657,0.6310160427807486,0.24064171122994651
p_ensemble,0.039999999999999994,0.5,0.8,99,304,-2.167763157894737,0.9001439502992651,0.6677631578947368,0.743421052631579,395,-5.115189873417721,0.7760226139008979,0.6759493670886076,0.30632911392405066
p_ensemble,0.06,0.5,0.8,100,175,-2.2714285714285714,0.899633884610529,0.6514285714285715,0.7485714285714286,294,-4.374149659863946,0.8072108537590885,0.6768707482993197,0.2687074829931973
p_kalshi_signal,0.03,0.5,0.8,100,487,-2.2104722792607805,0.8994911535409178,0.6652977412731006,0.6242299794661191,416,-5.050480769230769,0.7828872584478661,0.6682692307692307,0.38221153846153844
p_hist_gb,0.09999999999999999,0.3,0.6,100,305,-2.5622950819672132,0.8993625651921963,0.4524590163934426,0.7049180327868853,78,-1.5128205128205132,0.9396419437340153,0.5384615384615384,0.15384615384615385
p_btc_signal,0.039999999999999994,0.6,0.9,100,295,-1.808474576271186,0.899311125790318,0.7593220338983051,0.6576271186440678,421,-4.195961995249406,0.7871686746987951,0.7434679334916865,0.35391923990498814
